sl no,date,daily travel emission,daily energy emission,daily dietary emission,daily waste emission,daily water emission,daily appliances emission,daily activity emission
223,20/2/2018,3.484,5,5.971,1,3.471,4.459,34.407
224,20/2/2018,4.239,9.684,5.266,3.39,1.116,1.474,43.218
225,11/11/2018,3.217,5,12,1.74,5,4.67,47
226,27/2/2018,1.019,10.284,12,4.12,1.86,4.24,23.136
227,15/2/2018,4.004,9.006,6.56,1.6,1.518,2.711,20.424
228,11/1/2018,2.12,14.545,8.929,2.61,1.865,3.281,25.887
229,12/2/2018,1.434,14.945,12,3.54,3.419,5,19.475
230,11/2/2018,3.322,5,4.807,3.61,5,3.65,33.972
231,28/2/2018,4.652,19.113,2,3.28,2.757,4.595,47
232,17/2/2018,1.886,9.981,2.066,3.5,5,4.691,28.638
233,28/2/2018,1.465,5,8.305,3.96,4.705,1,29.376
234,17/10/2018,3.361,5,9.973,3.59,1.899,1.558,33.169
235,27/2/2018,1,5,2.948,4.18,1.796,1,29.85
236,12/2/2018,1.886,10.471,12,4.17,2.468,2.898,40.806
237,11/2/2018,1.801,10.657,2,1,3.687,3.337,17
238,4/2/2018,2.432,7.976,12,1.87,1.78,3.624,45.609
239,27/2/2018,4.476,10.488,12,1.51,1,4.582,17
240,16/2/2018,2.496,5,2,3.39,5,4.661,27.657
241,9/2/2018,2.077,20,2,3.27,1.372,4.656,47
242,3/3/2018,1.429,10.24,4.386,3.5,3.222,3.684,22.058
243,9/2/2018,5,15.372,2,3.71,5,3.279,39.175
244,27/2/2018,2.643,10.622,12,3.36,1,3.483,34.472
245,28/2/2018,1.103,13.105,10.567,3.93,2.906,3.329,47
246,23/2/2018,2.437,20,2.289,4.68,3.162,3.167,21.292
247,29/10/2018,2.498,10.39,12,2.87,4.653,5,23.271
248,15/2/2018,3.393,5,6.295,3.47,1.467,3.65,47
249,12/6/2018,1,10.784,6.401,4.63,1.49,4.608,23.986
250,12/2/2018,1.404,5,2,3.82,1,3.99,20.226
251,11/2/2018,2.462,10.354,8.08,3.6,2.552,3.434,25.47
252,11/2/2018,2.419,5,12,1.88,4.709,5,17.15
253,25/2/2018,2.807,20,2,3.13,1.83,4.453,41.555
254,30/10/2018,2.588,14.396,2,1.85,1.847,3.301,41.039
255,15/2/2018,1.633,12.331,2,4.89,1,2.566,17
256,3/2/2018,1,12.248,12,3.45,2.161,1.632,23.657
257,12/2/2018,2.293,5,10.748,1.25,2.883,4.519,23.891
258,3/2/2018,1,12.618,6.22,1,2.507,1,28.572
259,11/2/2018,2.986,5,2,3.3,1.542,2.6,30.335
260,11/2/2018,3.511,5.517,12,3.41,5,4.681,46.133
261,3/2/2018,4.194,10.478,2.142,2.42,5,1,36.19
262,28/2/2018,5,11.06,8.071,1.91,2.41,3.624,25.661
263,27/2/2018,5,10.304,6.192,3.57,1.716,4.665,26.936
264,19/6/2018,5,10.335,12,4.11,2.305,2.375,20.871
265,4/2/2018,1.399,5.15,12,1.54,3.482,2.594,17
266,26/10/2018,5,5,8.636,3.56,3.389,4.694,22.599
267,23/2/2019,3.295,5,12,4.7,2.746,3.064,20.842
268,11/2/2018,4.407,10.586,12,1.49,3.902,4.521,20.983
269,4/2/2018,4.61,20,2,1.48,2.848,3.82,47
270,19/2/2018,2.468,5,7.695,3.31,4.712,3.675,37.092
271,27/2/2018,1.869,13.077,2,2.45,1.672,3.448,17
272,27/2/2018,1,20,6.336,4.15,1,3.321,17
273,9/2/2018,1.48,5,7.149,3.56,3.008,1,29.737
274,3/2/2018,2.668,16.762,2,2.42,3.11,4.606,44.091
275,11/2/2018,2.794,13.1,8.491,3.84,3.519,3.528,47
276,4/2/2018,2.478,20,2,3.3,2.476,2.588,32.858
277,25/2/2018,4.564,18.686,7.45,3.31,3.164,4.688,23.203
278,11/1/2018,4.146,10.364,12,3.74,1,1,42.537
279,28/2/2018,3.506,5,12,2.95,4.706,5,47
280,4/2/2018,3.459,13.8,3.646,5,1.329,4.138,17
281,11/2/2018,1,16.426,2,1.44,3.375,3.282,21.667
282,9/2/2018,3.701,5,12,4.07,4.627,4.072,47
283,4/2/2018,1.616,12.731,7.553,3.46,1.04,1.672,19.837
284,4/3/2018,1.498,20,4.389,2.91,1,3.478,32.178
285,15/2/2018,1,5,2.765,2.98,3.382,4.387,17
286,15/2/2018,4.039,5,2,4.29,3.399,3.073,20.378
287,11/2/2018,1,20,5.909,1.38,1,5,42.587
288,27/2/2018,2.521,9.222,2,4.42,3.485,3.94,23.28
289,8/1/2018,2.187,20,3.963,1.42,1,1.787,47
290,11/2/2018,3.507,5,3.808,2.47,1,4.479,47
291,28/2/2018,2.496,20,3.508,3.35,2.761,5,23.631
292,9/2/2018,2.7,12.06,2,3.38,4.618,5,21.892
293,26/10/2018,3.824,10.381,12,4.44,2.646,4.304,46.346
294,27/2/2018,1.865,17.763,2,3.98,3.401,1,43.43
295,12/2/2018,2.707,8.036,3.734,4.15,1.039,5,24.342
296,27/2/2018,4.12,5,12,1.89,1.057,4.554,20.481
297,12/6/2018,2.928,11.475,2.944,4.68,1.023,3.315,17
298,25/10/2018,3.953,12.094,3.187,3.5,2.764,1,47
299,28/2/2018,2.5,12.484,12,5,4.99,4.669,38.319
300,28/2/2018,3.814,13.295,2,2.45,2.79,3.203,47
301,8/11/2018,2.648,12.29,7.223,1,5,3.314,17
302,19/6/2018,3.387,10.477,2,3.76,1.828,1,17
303,2/3/2019,4.522,10.286,12,2.84,4.053,1.232,43.776
304,20/2/2018,3.69,20,12,3.27,4.469,1,40.599
305,3/2/2018,3.469,20,5.691,3.23,2.529,3.423,29.203
306,12/2/2018,4.335,13.874,2,4.02,2.054,3.551,22.362
307,12/2/2018,2.526,17.93,2,1.39,1,3.579,17.218
308,11/2/2018,1.344,5,2,1,2.15,2.464,17
309,17/10/2018,1.348,10.531,8.808,1.95,2.026,1,20.498
310,10/1/2018,4.045,16.439,2,1.38,1.387,4.179,34.366
311,18/10/2018,4.312,8.804,2,4.41,1.365,3.458,17
312,11/2/2018,3.74,5,12,4.7,3.024,2.401,21.882
313,19/6/2018,2.662,5,12,4.7,1.106,4.43,20.216
314,6/7/2018,1,10.31,10.869,4.07,4.16,3.38,21.554
315,28/6/2018,2.512,14.555,12,1,1.427,4.548,21.048
316,26/10/2018,1.909,10.263,12,3.83,1.103,3.391,18.65
317,9/2/2018,2.497,12.45,7.713,1.39,1,1.838,47
318,12/2/2018,2.531,11.193,12,1,3.53,4.68,42.216
319,11/2/2018,2.523,5,2,1.69,2.424,3.716,17
320,12/2/2018,1.634,7.019,3.217,2.79,2.699,4.487,17
321,12/2/2018,1.958,11.014,2.123,3.4,1.916,1.268,47
322,4/2/2018,3.409,5,12,1,3.182,4.681,17
323,12/2/2018,2.586,13.569,11.693,4.26,1.908,4.691,39.827
324,12/2/2018,3.464,14.676,9.433,3.42,1.896,4.639,47
325,11/2/2018,2.469,13.937,2,3.3,1.727,1,43.427
326,17/2/2018,4.386,10.424,10.084,3.45,2.595,2.966,42.204
327,5/7/2018,1.442,5,12,1.29,3.528,5,20.615
328,7/2/2018,2.46,11.386,2.37,3.4,2.623,2.428,22.251
329,11/2/2018,1,12.77,2.235,1,1.721,4.298,47
330,11/2/2018,2.982,13.81,2,3.97,3.511,1,47
331,17/2/2018,4.309,20,2,3.65,1,4.209,17
332,15/10/2018,5,5,3.63,4.6,3.174,1,17
333,25/2/2018,1.482,12.844,2,5,3.141,4.337,26.794
334,12/2/2018,3.93,10.375,3.493,1.45,3.044,5,47
335,3/11/2018,2.46,7.664,12,3.04,4.67,1,25.282
336,11/2/2018,4.403,5,12,2.6,1.91,1,22.747
337,27/2/2018,1,5,2.497,3.44,3.473,4.544,20.489
338,11/2/2018,4.121,5,9.616,2.05,1,4.681,46.963
339,19/2/2018,4.616,10.36,9.116,1.88,1.843,1.396,17.211
340,4/2/2018,5,16.58,2,1.4,1.913,4.693,36.956
341,3/3/2019,1,5,10.319,4.66,1,1,21.403
342,27/2/2018,1.625,18.833,2,2.21,1.658,3.741,37.71
343,27/2/2018,2.598,6.482,2,3.69,5,3.756,47
344,20/2/2018,5,7.605,2,3.13,3.434,1,30.423
345,15/2/2018,2.486,20,2,3.51,1,1,21.287
346,11/2/2018,2.807,12.457,2,2.52,4.54,3.283,19.697
347,25/10/2018,1.526,14.379,8.619,2.51,1.499,3.411,20.247
348,11/2/2018,2.465,11.661,2,1.8,5,3.502,44.469
349,12/2/2018,3.452,17.463,2,3.35,3.35,3.636,47
350,11/2/2018,2.729,13.547,2,1.41,2.865,3.472,26.529
351,19/6/2018,3.402,14.699,7.006,3.98,1.896,1.932,39.936
352,11/11/2018,2.54,5,9.954,1.42,2.651,3.794,30.062
353,11/2/2018,2.496,8.895,2,1.43,2.564,3.206,23.475
354,11/2/2018,2.474,14.052,2,1,2.483,4.259,26.162
355,12/2/2018,3.293,5,12,3.3,3.534,1.949,27.718
356,27/2/2018,3.051,11.706,6.288,4.45,4.463,3.92,40.37
357,12/2/2018,1.431,5,2,3.37,3.006,2.621,30.018
358,21/2/2018,5,16.489,2,3.4,4.558,4.617,47
359,12/2/2018,3.511,15.196,2,3.61,1.451,3.367,27.883
360,13/2/2018,3.734,9.882,2,3.29,1.521,5,40.387
361,4/2/2018,3.325,5,12,1.42,3.258,3.702,20.45
362,27/2/2018,2.661,6.448,5.24,2.11,3.206,4.391,31.246
363,8/2/2018,4.049,12.008,12,4.67,1,4.684,20.642
364,28/2/2018,1.685,12.074,2,3.33,3.477,4.671,18.204
365,11/2/2018,2.837,5,11.539,4.44,3.437,4.244,47
366,11/2/2018,3.294,10.392,4.663,4.03,1.875,4.152,37.537
367,12/2/2018,2.65,10.912,12,5,1.756,4.626,47
368,27/2/2018,2.462,10.36,7.004,2.52,1,3.289,22.066
369,19/2/2018,2.865,20,2,4.16,3.522,5,25.182
370,24/10/2018,3.458,20,9.693,3.62,1.585,3.592,17
371,11/2/2018,1,5,2,3.95,1.988,3.039,21.475
372,19/2/2018,4.02,13.526,11.054,2.53,1.661,4.259,17
373,11/2/2018,2.461,5,6.37,1.43,2.743,2.846,21.227
374,28/2/2018,5,5,11.88,3.79,1.527,4.922,42.054
375,26/8/2018,1,5,2,3.65,1.382,4.377,47
376,12/2/2018,2.997,16.15,12,1.83,1,3.41,47
377,12/2/2018,4.654,10.608,2,3.75,5,3.326,17
378,18/10/2018,4.561,5,12,1.08,5,2.715,17
379,16/10/2018,1.352,20,12,4.27,4.41,1,21.657
380,12/2/2018,2.511,5,9.27,2.48,1.925,3.54,47
381,2/1/2018,4.232,19.135,2,4.27,3.511,3.728,47
382,4/2/2018,1.915,20,11.954,1.9,1,2.544,28.534
383,27/2/2018,2.574,20,6.208,2.91,4.653,3.835,37.108
384,12/2/2018,4.509,5,5.797,4.1,4.425,4.389,17
385,19/6/2018,3.389,10.333,12,2.44,1.925,3.643,47
386,28/2/2018,4.083,6.729,12,3.27,1.716,1.656,47
387,17/10/2018,1.587,5.5,4.987,4.39,1,4.542,17
388,19/2/2018,5,18.828,2,1.37,2.68,5,17
389,28/2/2018,2.505,19.08,12,1.39,2.372,4.7,43.267
390,19/6/2018,3.874,10.952,5.975,4.59,1.893,4.133,29.042
391,11/2/2018,1,10.415,5.98,3.05,1,3.31,18.035
392,20/6/2018,4.857,5,2.788,2.45,2.631,2.586,47
393,4/2/2018,3.475,10.981,11.506,1,1.84,1.853,43.588
394,12/2/2018,3.417,15.133,2,3.27,1.39,4.706,43.541
395,12/2/2018,4.634,5,2,3.32,3.012,4.167,47
396,12/2/2018,3.204,13.943,2,2.47,2.622,1.88,20.474
397,12/2/2018,1.694,10.584,2,4.25,1,3.346,44.665
398,4/2/2018,2.718,5,2,3.31,3.516,4.633,35.344
399,19/1/2018,4.173,5,2.875,3.3,1.887,4.592,46.798
400,28/2/2018,5,15.506,2,2.72,1,4.516,24.557
401,11/2/2018,1.747,18.267,2,2.11,1,2.521,32.577
402,12/2/2018,3.766,11.585,12,4.68,1.889,1.585,47
403,28/2/2018,2.82,20,2,1.52,1.851,4.692,21.337
404,12/2/2018,4.031,5,10.939,1.91,3.809,1,20.58
405,3/2/2018,1.365,5,2,3.33,1.856,3.391,29.229
406,15/2/2018,1.6,5,6.69,3.47,5,2.019,20.953
407,19/6/2018,1,5,2.279,2.61,2.988,2.613,30.692
408,11/2/2018,3.52,10.31,2,3.47,4.613,3.697,45.65
409,2/2/2018,3.435,5,12,3.49,3.127,5,25.355
410,19/2/2018,4.179,6.594,5.228,3.23,1.376,1,42.228
411,11/2/2018,3.959,10.95,2,2.43,2.925,3.399,17
412,11/2/2018,2.607,5,8.379,3.37,1,2.404,24.069
413,11/2/2018,4.422,5,6.53,2.47,4.487,3.274,24.078
414,24/2/2018,5,14.914,2,2.41,4.31,3.532,17
